date,period,week_1,week_2,week_3,mixture
1998-09-22,development,0.008630542774820327,0.007715292046785355,0.007567610481082488,0.007971148434229391
1998-09-23,development,0.0013488275141239165,-0.0026620597838163374,-0.001552655739402771,-0.0009552960030317307
1998-09-24,development,-0.0006491438135147094,0.0029474989044904706,0.004287437751579285,0.002195264280851682
1998-09-25,development,-0.0016044270723342894,-0.0030257693626999853,-0.0011568366179943084,-0.0019290110176761943
1998-09-28,development,-0.0013345628045082093,-0.001643152357983589,-0.0018618222827434538,-0.0016131791484117507
1998-09-29,development,0.001823582306328797,0.0027794638279676435,0.004724542102146148,0.0031091960788141963
1998-09-30,development,0.0003074839971065521,-0.0031670248463988304,-0.0032721851504325865,-0.002043908666574955
1998-10-01,development,-0.0010847565006017685,-0.0013650494547486304,-0.0013713449285030364,-0.0012737169612844785
1998-10-02,development,0.0053706577138662335,0.0053989335036516185,0.002849143607711792,0.004539578275076548
1998-10-05,development,-0.001354644949579239,-0.0017494003970265387,-0.00443385535364151,-0.002512633566749096
1998-10-06,development,0.0067232562312602995,-0.002062669582246274,-0.003339934211540222,0.00044021747915793454
1998-10-07,development,0.0014569516676187515,0.0031110310726881027,-0.0012400633578777314,0.0011093064608097077
1998-10-08,development,-0.0004707790517091751,-0.0023223440303087235,-0.003455874160003662,-0.0020829990806738538
1998-10-09,development,-0.000825942203450203,0.005728044545745849,0.0018528635981082916,0.0022516553134679794
1998-10-12,development,0.0029706440525293348,0.004525056764554977,-0.0010105094367027282,0.0021617304601271943
1998-10-13,development,-0.0008307298131227492,-0.0014850654378652571,-0.00040062529178355976,-0.0009054735142571888
1998-10-14,development,0.006836142002129554,0.009900124520921707,0.013063133723473548,0.009933133415508269
1998-10-15,development,0.00418314553861618,0.010628724829769134,0.006936429786920547,0.007249433385101954
1998-10-16,development,-0.00938069388461113,-0.00849498113565445,-0.013188322487926483,-0.01035466583606402
1998-10-19,development,-0.0005447880413532257,0.00399958506731987,-0.010583164976644516,-0.0023761226502259573
1998-10-20,development,-0.0062072301280080905,-0.0036202645401477813,-0.009114798276519774,-0.006314097648225215
1998-10-21,development,0.0035367519980311394,0.0019769024829864503,0.0076719185439586635,0.004395191008325417
1998-10-22,development,-0.001045834343636036,0.0029520171177864073,-0.0004988820299625397,0.0004691002480626106
1998-10-23,development,-0.0005818102150917053,-0.0001506291196346283,-0.0007549327942371368,-0.0004957907096544901
1998-10-26,development,-0.00017947962404489515,-0.0026676174051761628,0.0001457273621082306,-0.0009004565557042759
1998-10-27,development,-0.0018004108728051184,-0.000703025210769081,0.007918747075557708,0.001805103663994503
1998-10-28,development,0.0027243622546076775,0.004947327998411655,0.0034939491329193115,0.003721879795312881
1998-10-29,development,-0.004991832931101322,-0.003366006000638008,-0.0022610295794963835,-0.003539622837078571
1998-10-30,development,-0.005204951364350318,-0.0009114560630917549,-0.006220929641151428,-0.004112445689531167
1998-11-02,development,-0.004633998332214355,-0.006786161460721493,-0.003976641936063766,-0.005132267242999871
1998-11-03,development,-0.004050278786945343,-0.0043287497145652765,-0.004783398548277258,-0.004387475683262626
1998-11-04,development,-0.0035058244698286055,-0.00589741115629673,-0.003496093380355835,-0.004299776335493724
1998-11-05,development,-0.0018208677352666853,-0.002403457353878021,0.0017954688293933868,-0.0008096187532504398
1998-11-06,development,-0.005322731525456905,-0.0015887441641688346,-0.001943728873515129,-0.0029517348543802897
1998-11-09,development,0.0017346256051898002,-0.001966577860891819,0.0018160572901964186,0.0005280350114981333
1998-11-10,development,0.004602774779314545,0.0071352355058074,0.006449050780749321,0.006062353688623755
1998-11-11,development,-0.0011491590827584267,-0.00021318951065540313,-0.00003396521883010864,-0.00046543793741464615
1998-11-12,development,0.0034028963881134987,0.0022739624007582664,0.001732101046872139,0.0024696532785813013
1998-11-13,development,0.001557057797974348,0.0024986668832063675,0.00287973307454586,0.0023118192519088585
1998-11-16,development,-0.0025477851163446903,-0.00071111421148777,0.00026875188510417936,-0.0009967158142427603
1998-11-17,development,0.004182149520260095,0.005656100064650673,0.0020726652366638183,0.003970304940524862
1998-11-18,development,0.00012272631667256356,0.001316114313852787,0.0031213822134256363,0.0015200742813169955
1998-11-19,development,0.0011518945783734321,0.0012426423823595047,-0.0009039511225223541,0.0004968619460701942
1998-11-20,development,0.005911560515010357,0.007741514250528812,0.0035119172756195066,0.005721664013719558
1998-11-23,development,0.0015768518229544162,0.003971613367056846,0.00010835460300445556,0.0018856065976719058
1998-11-24,development,-0.001249334972810745,-0.0025583738998770714,-0.0014909487680584963,-0.0017662192135821043
1998-11-25,development,0.00016371345281004904,0.0018088455815196036,0.003002445332878828,0.0016583347890694936
1998-11-27,development,0.00046086015881896016,0.0027181133539438246,0.0006749222218930721,0.0012846319115519522
1998-11-30,development,-0.0013655266717135905,-0.005462844218361377,-0.005758804095965624,-0.0041957249953468645
1998-12-01,development,0.016044396587493792,0.012415162190783023,0.012503345058333873,0.013654301278870231
1998-12-02,development,0.00580096477060318,0.0008390469982028007,0.005977840839529037,0.0042059508694450055
1998-12-03,development,-0.005105914787364006,-0.006662948797094822,-0.0025412840776205064,-0.0047700492206931115
1998-12-04,development,0.014585902871292829,0.011957857690894603,0.01054529844648242,0.012363019669556616
1998-12-07,development,0.0034883176214218136,0.0025901021470665932,0.003108058337211609,0.003062159368566672
1998-12-08,development,-0.00511230220297873,-0.0008439244344420134,-0.0024141194880157708,-0.0027901153751455046
1998-12-09,development,0.010435950932839512,0.004957052054482698,0.008402386249473691,0.007931796412265301
1998-12-10,development,0.0048522358808040615,0.004490112345433235,0.004678736935329437,0.004673695053855578
1998-12-11,development,-0.0007758293223381042,0.0006911038853645324,0.005892030552816391,0.0019357683719476064
1998-12-14,development,0.0054037026861041785,0.005283644348758459,0.00524961499658525,0.005312320677149296
1998-12-15,development,0.011808781802734732,0.006907521127027273,0.005617309668158331,0.008111204199306778
1998-12-16,development,0.005776789280259609,0.0027902306734681128,0.003966894327664375,0.004177971427130699
1998-12-17,development,0.006410584771615267,0.008920406402087211,0.011832233366382122,0.0090544081800282
1998-12-18,development,0.0063064730619490144,0.00762847521713972,0.005553715110254287,0.006496221129781008
1998-12-21,development,0.00897131795015931,0.00945403010956049,0.011343242102742195,0.009922863387487331
1998-12-22,development,0.008717274860929942,0.002723069476342201,0.009948735706305504,0.007129693347859216
1998-12-23,development,0.0029409558640837666,0.00029049909101724626,0.000697117318034172,0.0013095240910450615
1998-12-24,development,0.002691310784077644,-0.0008279710406064987,-0.00022350787816047667,0.000546610621770223
1998-12-28,development,0.009323216704940795,0.006539604787015914,0.005476590686678886,0.007113137392878531
1998-12-29,development,0.007433367802345752,0.004316771299874783,0.0023344697560071944,0.004694869619409243
1998-12-30,development,-0.007404481753647327,-0.0005290964813971281,-0.006503133816802501,-0.004812237350615652
1998-12-31,development,0.0012028105252504348,-0.005422025790858268,-0.001226843631386757,-0.0018153529656648635
1999-01-04,development,-0.01699221642155647,-0.002132176192498207,-0.013660602699589729,-0.010928331771214802
1999-01-05,development,-0.004022863692855835,-0.0055338544978857035,-0.0020105523364663124,-0.003855756842402617
1999-01-06,development,-0.008782620734262466,-0.006181956367993354,0.000054522289286351585,-0.004970018270989823
1999-01-07,development,-0.001214837100958824,-0.0026075703835964203,0.00020310755165815352,-0.0012064333109656968
1999-01-08,development,-0.0006594795818567275,-0.003885915874433517,-0.0012891722442388534,-0.001944855900176366
1999-01-11,development,-0.007423897518289089,-0.006456567515206337,-0.004762758989036083,-0.006214408007510503
1999-01-12,development,0.011388605213097244,0.008490570429849624,0.0038076012534856794,0.00789559229881085
1999-01-13,development,0.0028740604563236233,-0.00129577797832489,0.004150855784130096,0.001909712754042943
1999-01-14,development,-0.005351754151058197,-0.009284555546283721,-0.009704202409482002,-0.008113504035607974
1999-01-15,development,-0.003664183203983307,-0.004513895463919639,-0.003863578012061119,-0.004013885559988022
1999-01-19,development,-0.00032396343274116514,0.006256128805589675,0.004720954576992988,0.0035510399832804997
1999-01-20,development,-0.004748395305585861,-0.004169215504868263,-0.005722959728729725,-0.00488019017972795
1999-01-21,development,-0.006861793516111374,-0.005372288404738903,-0.007610928753530979,-0.006615003558127085
1999-01-22,development,-0.0007914385573863983,-0.00341314255951643,-0.0011726325516343116,-0.0017924045561790467
1999-01-25,development,0.0010589859800815581,0.0041613100391507145,0.006056806385409831,0.0037590341348807013
1999-01-26,development,0.008672718103742599,0.007393885315656662,0.004381587506845069,0.006816063642081443
1999-01-27,development,0.007295679494619369,0.006603268991422653,0.00449751576962471,0.00613215475188891
1999-01-28,development,0.007135146002531051,0.0020165713555574416,0.0050415496505498885,0.0047310890028794605
1999-01-29,development,0.005616107282686233,0.010985401450526714,0.004101700632965564,0.0069010697887261704
1999-02-01,development,0.0032329288952350614,0.000011579582691192626,-0.000715202178812027,0.0008431020997047424
1999-02-02,development,-0.0014894494491513135,0.0023777851781129834,0.0018570405921220778,0.0009151254403612493
1999-02-03,development,-0.00059904234085083,0.002267352685320377,0.005022127304971218,0.0022301458831469217
1999-02-04,development,0.001033839909362793,-0.0008402844396352767,-0.002044473703598976,-0.00061697274462382
1999-02-05,development,0.0004813825572013855,-0.0031597249730706215,-0.004612214119660854,-0.0024301855118433633
1999-02-08,development,0.0006631578855037689,0.0030531165056943894,0.0012599509867429733,0.0016587417926470437
1999-02-09,development,0.005376643000388145,0.0011447553761927075,0.0017254448234558105,0.0027489477333455543
1999-02-10,development,0.007233614272642136,0.0039918090773582455,0.00129725837931633,0.00417422724310557
1999-02-11,development,-0.00025387245478630067,0.008677686064815521,0.005925308816111087,0.004783040808713436
1999-02-12,development,-0.004476418916296959,-0.009004206146717071,-0.0035341414908766746,-0.005671588851296902
1999-02-16,development,0.0057383743953228,0.005609318773841858,0.006701978656101226,0.006016557275088628
1999-02-17,development,0.0029858493960380553,-0.0009451613879203795,0.001474592449780852,0.0011717601526328426
1999-02-18,development,0.0002608940902948379,0.0014780915385246276,-0.0034568890610218047,-0.0005726344774007797
1999-02-19,development,-0.004698250753211975,0.0018215114149093628,-0.0036009211925029753,-0.002159220176935196
1999-02-22,development,0.005837789822530746,0.009761425813674927,0.005458998784780502,0.0070194048069953914
1999-02-23,development,0.008048949301026476,0.004705069538116455,0.006308397897005081,0.006354138912049338
1999-02-24,development,0.003690475173664093,0.0039252600938797,0.0029869905025482176,0.0035342419233640038
1999-02-25,development,-0.001660290980529785,-0.001686207592010498,-0.0025742495184898377,-0.00197358269701004
1999-02-26,development,-0.00212070592045784,-0.0013601416578292846,0.0011996711637973785,-0.0007603921381632486
1999-03-01,development,-0.006132842362976074,-0.005768267540264129,-0.0033617174904823303,-0.0050876091312408445
1999-03-02,development,0.0021527206440925596,-0.0004333291029895066,0.0009883408253669739,0.000902577455490009
1999-03-03,development,0.0014589146846294403,0.0052498392411232,0.00010763778004646301,0.002272130568599701
1999-03-04,development,0.00444709350528717,0.0031715726762771607,0.005298875618982315,0.004305847266848882
1999-03-05,development,0.0028778396706581116,0.0036900652156829834,0.0016437192133426665,0.0027372080332279205
1999-03-08,development,0.00177789157333374,0.0010996091987609863,-0.0009530139132499694,0.000641495619614919
1999-03-09,development,-0.0005330127452850341,-0.0006548650482177734,0.0016406286696099043,0.00015091695870236553
1999-03-10,development,-0.002054736105489731,0.002122187560558319,0.0006518027526855469,0.00023975140258471173
1999-03-11,development,0.00013422014904022217,-0.0018771232693672178,0.004533416042041778,0.0009301709739049276
1999-03-12,development,0.0074371991404533384,0.0033157971020221708,0.0010180072774410248,0.003923667839972178
1999-03-15,development,0.0062818935136318204,0.005228444423341751,0.006669932486391067,0.0060600901411215465
1999-03-16,development,-0.003782992837416827,-0.0033433003815650938,0.0002562261711597442,-0.002290022349274059
1999-03-17,development,-0.006342292509162426,-0.0016989285005569457,-0.0033424833377838133,-0.0037945681158343945
1999-03-18,development,-0.0021198566648006436,-0.0012782060782432555,-0.003949032138442993,-0.0024490316271622973
1999-03-19,development,-0.007265748564136028,-0.007287953335523605,-0.005128221898317337,-0.0065606412659923235
1999-03-22,development,-0.0002490522745549679,0.000454476847743988,0.00020832722611427307,0.00013791726643443106
1999-03-23,development,0.0011115456367254257,-0.0010550857671618344,0.003921365806531906,0.0013259418920318325
1999-03-24,development,0.002810379710412025,0.0018094373370170593,0.0008005034819602966,0.0018067735097964605
1999-03-25,development,0.0042036220690548414,0.0030745505930185315,-0.0014897049700260162,0.0019294892306824525
1999-03-26,development,-0.001230329433876276,-0.0016311513252496718,-0.0030316750012397767,-0.0019643852534552415
1999-03-29,development,-0.00027418997285962103,0.004119143333601951,-0.007458763519716262,-0.0012046033863246442
1999-03-30,development,0.008839114336824416,0.003849835149478912,0.005180630015183259,0.005956526500495528
1999-03-31,development,-0.001360239641970396,-0.002045897701716423,-0.007997796478199959,-0.003801311273962259
1999-04-01,development,0.002272959394276142,0.0027361192048072813,0.006842712547016143,0.003950597048699856
1999-04-05,development,0.006595715460354089,0.00867176587626934,0.00876742688896656,0.008011636075196664
1999-04-06,development,0.001489962684983015,0.004377142341923714,0.0016000349057435988,0.002489046644216776
1999-04-07,development,0.006048622456463329,0.0009567467257022858,0.004364211194086074,0.00378986012541723
1999-04-08,development,-0.00048526212689876556,0.0011765244128465653,-0.0006586614721059799,0.000010866937947273271
1999-04-09,development,-0.006020663702607155,-0.011507241325831414,-0.012695242661881446,-0.010074382563440005
1999-04-12,development,0.002687922615456581,-0.004382328729557991,-0.0006859000164747237,-0.0007934353768587112
1999-04-13,development,-0.006805687177109718,-0.010290944982306986,-0.009446820262265204,-0.008847817473893968
1999-04-14,development,-0.01130552895758152,-0.007155901856034994,-0.011708299641299246,-0.010056576818305253
